"","Participant","Condition","Type","Age","Sex","av_Learn_RT","av_Learn_Corr","av_NF_RT","av_NF_Corr"
"100","5e7b6c8c669042176859d4c4","Early","Exception",19,"Male",1.01052777777778,0.444444444444444,0.282846153846154,0.307692307692308
"101","5e7b6c8c669042176859d4c4","Early","Prototype",19,"Male",0.890985507246377,0.753623188405797,0.314923076923077,0.615384615384615
"102","5e7b6c8c669042176859d4c4","Early","RuleFollowing",19,"Male",0.830323529411765,0.558823529411765,0.286538461538462,0.461538461538462
"103","5e80c717770c43000b151225","Early","Exception",23,"Female",0.8254,0.314285714285714,0.8058,0.466666666666667
"104","5e80c717770c43000b151225","Early","Prototype",23,"Female",0.861710144927536,0.898550724637681,0.740066666666667,0.8
"105","5e80c717770c43000b151225","Early","RuleFollowing",23,"Female",0.839888888888889,0.722222222222222,0.8785,0.4375
"106","5e82574c92f2f398c4d3fce0","Late","Exception",23,"Male",1.0453125,0.5,0.6923125,0.5625
"107","5e82574c92f2f398c4d3fce0","Late","Prototype",23,"Male",0.91680303030303,0.666666666666667,0.8046875,0.875
"108","5e82574c92f2f398c4d3fce0","Late","RuleFollowing",23,"Male",0.837147058823529,0.5,0.7145,0.5625
"109","5e851959390e520ec806b09c","Early","Exception",22,"Female",1.11847222222222,0.611111111111111,1.323875,0.875
"110","5e851959390e520ec806b09c","Early","Prototype",22,"Female",1.17336231884058,0.739130434782609,1.30053333333333,0.8
"111","5e851959390e520ec806b09c","Early","RuleFollowing",22,"Female",1.08014705882353,0.705882352941177,1.12875,0.6875
"112","5e87b396c66acc42ce30ca6d","Late","Exception",20,"Female",0.614147058823529,0.5,0.719333333333333,0.4
"113","5e87b396c66acc42ce30ca6d","Late","Prototype",20,"Female",0.701579710144927,0.608695652173913,0.7751875,0.5
"114","5e87b396c66acc42ce30ca6d","Late","RuleFollowing",20,"Female",0.769333333333333,0.583333333333333,0.773375,0.5
"115","5e8b928f193f3c075dfcdc68","Late","Exception",25,"Male",0.637,0.25,0.59125,0.5
"116","5e8b928f193f3c075dfcdc68","Late","Prototype",25,"Male",0.606371428571429,0.942857142857143,0.5120625,1
"117","5e8b928f193f3c075dfcdc68","Late","RuleFollowing",25,"Male",0.658057142857143,0.685714285714286,0.5679375,0.6875
"118","5e8f8e47621d9b280bf9cb7e","Early","Exception",31,"Female",0.645558823529412,0.441176470588235,0.4848125,0.5
"119","5e8f8e47621d9b280bf9cb7e","Early","Prototype",31,"Female",0.827638888888889,0.888888888888889,0.4556,1
"120","5e8f8e47621d9b280bf9cb7e","Early","RuleFollowing",31,"Female",0.712235294117647,0.735294117647059,0.5003125,0.8125
"121","5e8fc651d1aa0d2ba33717c9","Early","Exception",27,"Male",0.41940625,0.5,0.730266666666667,0.266666666666667
"122","5e8fc651d1aa0d2ba33717c9","Early","Prototype",27,"Male",0.498645161290323,0.693548387096774,0.7178125,1
"123","5e8fc651d1aa0d2ba33717c9","Early","RuleFollowing",27,"Male",0.444606060606061,0.636363636363636,0.7633125,0.625
"124","5e925aeb457c6e09281bf572","Late","Exception",20,"Male",0.646638888888889,0.5,0.496625,0.5
"125","5e925aeb457c6e09281bf572","Late","Prototype",20,"Male",0.64012676056338,0.915492957746479,0.5276875,1
"126","5e925aeb457c6e09281bf572","Late","RuleFollowing",20,"Male",0.626861111111111,0.75,0.509625,0.75
"127","5e9820b9c63c530008087a8c","Late","Exception",34,"Male",1.1784,0.6,0.866375,0.5
"128","5e9820b9c63c530008087a8c","Late","Prototype",34,"Male",1.10464615384615,0.738461538461539,0.758733333333333,1
"129","5e9820b9c63c530008087a8c","Late","RuleFollowing",34,"Male",1.06732352941176,0.617647058823529,0.8025,0.6875
"130","5e9c5de41672d018182aeb30","Early","Exception",22,"Female",1.10965714285714,0.542857142857143,1.15515384615385,0.769230769230769
"131","5e9c5de41672d018182aeb30","Early","Prototype",22,"Female",1.04722727272727,0.681818181818182,1.081625,1
"132","5e9c5de41672d018182aeb30","Early","RuleFollowing",22,"Female",1.00667647058824,0.705882352941177,0.966333333333333,0.666666666666667
"133","5e9eef4948a31e03b47334a6","Late","Exception",25,"Male",1.17314705882353,0.352941176470588,0.928533333333333,0.466666666666667
"134","5e9eef4948a31e03b47334a6","Late","Prototype",25,"Male",1.14676119402985,0.761194029850746,1.18106666666667,0.866666666666667
"135","5e9eef4948a31e03b47334a6","Late","RuleFollowing",25,"Male",1.16491176470588,0.647058823529412,1.24886666666667,0.8
"136","5e9f58de6ecd090f0a2805d4","Late","Exception",21,"Female",1.01055882352941,0.441176470588235,1.2078125,0.5625
"137","5e9f58de6ecd090f0a2805d4","Late","Prototype",21,"Female",0.963298507462687,0.850746268656716,1.164875,0.625
"138","5e9f58de6ecd090f0a2805d4","Late","RuleFollowing",21,"Female",0.963914285714286,0.771428571428571,1.3035625,0.8125
"139","5ea96851a879f0059741c4cb","Late","Exception",19,"Female",0.742583333333333,0.277777777777778,0.7531875,0.125
"140","5ea96851a879f0059741c4cb","Late","Prototype",19,"Female",0.7331,0.814285714285714,0.698466666666667,0.866666666666667
"141","5ea96851a879f0059741c4cb","Late","RuleFollowing",19,"Female",0.759777777777778,0.527777777777778,0.81775,0.4375
"142","5eacc5d65753b3341a0f9d0e","Late","Exception",32,"Male",0.950212121212121,0.393939393939394,0.8514375,0.4375
"143","5eacc5d65753b3341a0f9d0e","Late","Prototype",32,"Male",0.901846153846154,0.861538461538462,0.677375,1
"144","5eacc5d65753b3341a0f9d0e","Late","RuleFollowing",32,"Male",0.953235294117647,0.735294117647059,0.7711875,0.75
