Participant,Session,Gender,Age,Condition,Block,Image,Type,Count,Learn_Block,Learn_Trial,Learn_Corr,Learn_RT,NF_Trial,Memory_Trial,Seen_Unseen,Memory_RT,NF_Corr,NF_RT,Memory_Corr,Avg_Block
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,20,1,32,1,0.594,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,21,1,33,1,0.684,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,43,1,34,1,0.735,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,20,1,35,0,0.919,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,21,1,36,0,1.046,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,44,1,37,1,0.85,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,22,1,38,0,0.752,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,45,1,39,0,0.706,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,23,1,40,1,1.383,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,24,1,41,0,0.951,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,22,1,42,1,0.818,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,23,1,43,0,0.785,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,46,1,44,1,0.947,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,47,1,45,1,0.952,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,24,1,46,0,1.352,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,48,1,47,1,0.743,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,49,2,0,1,0.976,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,50,2,1,1,1.853,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,51,2,2,1,0.936,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,25,2,3,0,0.909,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,52,2,4,1,0.883,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,53,2,5,1,1.486,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,54,2,6,1,0.71,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,25,2,7,0,1.135,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,55,2,8,1,1.584,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,26,2,10,1,1.135,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,27,2,11,1,0.733,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,27,2,12,1,1.146,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,56,2,13,1,1.32,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,28,2,14,0,0.712,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,28,2,15,1,1.285,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,29,2,16,1,0.985,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,57,2,17,0,0.722,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,30,2,18,0,1.268,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,58,2,19,1,0.851,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,59,2,20,1,1.245,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,29,2,21,0,0.812,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,60,2,22,1,1.654,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,61,2,23,1,0.747,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,31,2,24,1,1.003,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,62,2,25,1,0.902,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,32,2,26,0,1.017,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,63,2,27,1,0.668,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,30,2,28,0,0.536,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,33,2,29,1,0.894,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,64,2,30,1,1.301,NA,NA,NA,NA,NA,NA,NA,5
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,31,2,31,1,0.885,NA,NA,NA,NA,NA,NA,NA,2
